Feature,Importance
gender,0.021887142324143086
SeniorCitizen,0.013393790801188772
Partner,0.030894994169319213
Dependents,0.02819602864623464
tenure,0.12051894790328524
PhoneService,0.006896471251828002
MultipleLines,0.01937022579208497
InternetService,0.025803430852163644
OnlineSecurity,0.08542605140717278
OnlineBackup,0.03884595087763405
DeviceProtection,0.025109373806174274
TechSupport,0.07835474181518783
StreamingTV,0.01580973750743381
StreamingMovies,0.016208519140232996
Contract,0.1392485972620185
PaperlessBilling,0.017906651041215495
PaymentMethod,0.0416769424114159
MonthlyCharges,0.1372609052750453
TotalCharges,0.13719149771622136
